InvoiceNumber/ID|Date|Contact|Description|AccountCode|Quantity|UnitAmount|LineAmount|Total|Status|Type
INV-0004|/Date(1451606400000+0000)/|Unit D|Rent Unit D|200|1.0|14000.0|14000.0|15000.0|VOIDED|Sale
INV-0004|/Date(1451606400000+0000)/|Unit D|Dues Unit D|200|1.0|1000.0|1000.0|15000.0|VOIDED|Sale
INV-0004|/Date(1451606400000+0000)/|Unit D|Electricity Unit D||1.0|0.0|0.0|15000.0|VOIDED|Sale
INV-0004|/Date(1451606400000+0000)/|Unit D|Water D||1.0|0.0|0.0|15000.0|VOIDED|Sale
INV-0006|/Date(1451606400000+0000)/|Unit D|Rent Unit D|200|1.0|14000.0|14000.0|16200.0|VOIDED|Sale
INV-0006|/Date(1451606400000+0000)/|Unit D|Dues Unit D|200|1.0|1000.0|1000.0|16200.0|VOIDED|Sale
INV-0006|/Date(1451606400000+0000)/|Unit D|Electricity Unit D|200|1.0|500.0|500.0|16200.0|VOIDED|Sale
INV-0006|/Date(1451606400000+0000)/|Unit D|Water D|200|1.0|700.0|700.0|16200.0|VOIDED|Sale
INV-0009|/Date(1451606400000+0000)/|Unit B|Rent Unit B|200|1.0|14000.0|14000.0|15000.0|DELETED|Sale
INV-0009|/Date(1451606400000+0000)/|Unit B|Dues Unit B|200|1.0|1000.0|1000.0|15000.0|DELETED|Sale
INV-0009|/Date(1451606400000+0000)/|Unit B|Electricity Unit B|200|1.0|0.0|0.0|15000.0|DELETED|Sale
INV-0009|/Date(1451606400000+0000)/|Unit B|Water Unit B|200|1.0|0.0|0.0|15000.0|DELETED|Sale
INV-0001|/Date(1451606400000+0000)/|Unit A|Rent Unit A|200|1.0|13000.0|13000.0|20370.0|PAID|Sale
INV-0001|/Date(1451606400000+0000)/|Unit A|Dues Unit A|200|1.0|1000.0|1000.0|20370.0|PAID|Sale
INV-0001|/Date(1451606400000+0000)/|Unit A|Electricity Unit A|200|1.0|5068.0|5068.0|20370.0|PAID|Sale
INV-0001|/Date(1451606400000+0000)/|Unit A|Water Unit A|200|1.0|1302.0|1302.0|20370.0|PAID|Sale
INV-0002|/Date(1451606400000+0000)/|Unit B|Water Unit B|200|1.0|806.0|806.0|19488.0|PAID|Sale
INV-0002|/Date(1451606400000+0000)/|Unit B|Electricity Unit B|200|1.0|3682.0|3682.0|19488.0|PAID|Sale
INV-0002|/Date(1451606400000+0000)/|Unit B|Dues Unit B|200|1.0|1000.0|1000.0|19488.0|PAID|Sale
INV-0002|/Date(1451606400000+0000)/|Unit B|Rent Unit B|200|1.0|14000.0|14000.0|19488.0|PAID|Sale
INV-0003|/Date(1451606400000+0000)/|Unit C|Dues Unit C|200|1.0|1000.0|1000.0|17436.0|PAID|Sale
INV-0003|/Date(1451606400000+0000)/|Unit C|Electricity Unit C|200|1.0|2630.0|2630.0|17436.0|PAID|Sale
INV-0003|/Date(1451606400000+0000)/|Unit C|Water Unit C|200|1.0|806.0|806.0|17436.0|PAID|Sale
INV-0003|/Date(1451606400000+0000)/|Unit C|Rent Unit C|200|1.0|13000.0|13000.0|17436.0|PAID|Sale
INV-0008|/Date(1451606400000+0000)/|Unit D|Dues Unit D|200|1.0|1000.0|1000.0|17991.0|PAID|Sale
INV-0008|/Date(1451606400000+0000)/|Unit D|Electricity Unit D|200|1.0|2185.0|2185.0|17991.0|PAID|Sale
INV-0008|/Date(1451606400000+0000)/|Unit D|Rent Unit D|200|1.0|14000.0|14000.0|17991.0|PAID|Sale
