ID|Date|Contact|Description|AccountCode|Quantity|UnitAmount|LineAmount|Total|Status|Type
82001d37-a753-45ae-9db9-bbd39926c619||||||||240.0|PAID|ExpenseClaim
ec37cad6-acbc-41f7-8c5c-a9a566cd4bbc||||||||10218.12|PAID|ExpenseClaim
7fa93648-c558-490c-8974-6d1236080891||||||||104170.0|PAID|ExpenseClaim
bb850f4d-3ee3-4b03-a3f6-a011bf5f809c||||||||24926.63|PAID|ExpenseClaim
f1dd33c0-523c-4e68-9f86-a19eed2b3221||||||||420.0|PAID|ExpenseClaim
100ff207-a97c-4f96-8624-3a24ce639e11||||||||2400.0|PAID|ExpenseClaim
7ad2e1dc-1929-41ca-93f5-26cb461ea756||||||||23500.0|PAID|ExpenseClaim
b9c27816-8bd0-4bc9-bed9-128995b0d3e6||||||||500.0|PAID|ExpenseClaim
e47f7706-deed-418c-94be-da83ed315f31||||||||2040.0|PAID|ExpenseClaim
5eb2761c-dabb-4a23-8859-02ef4d3d5381||||||||240.0|PAID|ExpenseClaim
038c70d5-cbbf-4832-a0f2-00d6642379aa||||||||55000.0|PAID|ExpenseClaim
ae7af6b3-dbb1-4a89-b551-52bcc6e2e1b5||||||||17619.27|PAID|ExpenseClaim
e2cfdbd6-2ca4-4838-a4b1-526a5c2c24ad||||||||1200.0|PAID|ExpenseClaim
d35c96ab-ca4d-4ac5-9ad9-6b6349c7a3e3||||||||100.0|PAID|ExpenseClaim
f79750f3-58c4-429c-afdc-0f2c4d23815e||||||||300.0|PAID|ExpenseClaim
1ae96594-0391-4262-ba5c-bec39d56aaaf||||||||600.0|PAID|ExpenseClaim
9d1d6e40-994e-4b1d-87ec-c6f94a912d98||||||||250.0|PAID|ExpenseClaim
4eadacff-477b-4552-b664-fe6a317e22ec||||||||1490.0|PAID|ExpenseClaim
cc9b82e9-9efa-46f5-9079-8d451a58a325||||||||950.0|PAID|ExpenseClaim
0e200f3c-8279-4827-8525-a8762ede9e82||||||||2700.0|PAID|ExpenseClaim
e18fdfb7-687a-46d0-b796-e77d1e3cc816||||||||8082.01|PAID|ExpenseClaim
0c063f12-11ee-4cf7-aaf3-e8e36449035f||||||||240.0|PAID|ExpenseClaim
2f71699e-8291-4aab-ba23-64c8bfe4adc1||||||||141682.92|PAID|ExpenseClaim
3845ed43-ac79-46ad-be1a-fe462bcda996||||||||2040.0|PAID|ExpenseClaim
a4da931d-8ebe-4ceb-ae98-84b3ce60147d||||||||4735.0|PAID|ExpenseClaim
80f6f3e8-e92a-4113-8f06-a9fa8cd234b6||||||||23908.68|PAID|ExpenseClaim
57ff94d5-659e-45fa-b48b-fccada9aa950||||||||15122.75|PAID|ExpenseClaim
056a7a62-9b25-48ae-bdb0-713c0a3159c0||||||||300.0|PAID|ExpenseClaim
01cccfaf-3097-407a-a815-2b794d12bec6||||||||2040.0|PAID|ExpenseClaim
4d6e239d-6aaf-4e2b-a511-c79d105fd1e6||||||||500.0|PAID|ExpenseClaim
2420b576-3580-4477-876a-281ac4ed879e||||||||2000.0|PAID|ExpenseClaim
2088cb48-1b13-47b2-991e-b669d7c9e268||||||||8990.8|PAID|ExpenseClaim
fa185d1e-17ca-455e-a473-7024c3a0c132||||||||7700.0|PAID|ExpenseClaim
5b3f6d4d-1659-45b4-8ba8-7d3a3d6e9d33||||||||13500.0|PAID|ExpenseClaim
